Linux 5.4.0-47-generic (slave2) 	18/09/2020 	_x86_64_	(2 CPU)

02:05:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:07:01     all    4,12    0,00    3,61    1,03    0,00    8,76    0,00    0,00    0,00   82,47
02:07:02     all    3,02    0,00    5,03    0,50    0,00   10,05    0,00    0,00    0,00   81,41
02:07:03     all    4,12    0,00    3,09    0,00    0,00    8,76    0,00    0,00    0,00   84,02
02:07:04     all    2,50    0,00    5,00    0,50    0,00   10,00    0,00    0,00    0,00   82,00
02:07:05     all    3,90    0,00    3,90    1,95    0,00   12,20    0,00    0,00    0,00   78,05
02:07:06     all    2,56    0,00    3,08    0,51    0,00    8,72    0,00    0,00    0,00   85,13
02:07:07     all    4,52    0,00    2,01    0,00    0,00   10,05    0,00    0,00    0,00   83,42
02:07:08     all    3,48    0,00    3,48    1,00    0,00    8,96    0,00    0,00    0,00   83,08
02:07:09     all    4,43    0,00    3,45    0,00    0,00   11,33    0,00    0,00    0,00   80,79
02:07:10     all    2,56    0,00    3,08    0,51    0,00    7,69    0,00    0,00    0,00   86,15
02:07:11     all    5,08    0,00    2,54    2,54    0,00    8,63    0,00    0,00    0,00   81,22
02:07:12     all    4,02    0,00    3,52    0,00    0,00   17,09    0,00    0,00    0,00   75,38
02:07:13     all    5,53    0,00    4,02    0,00    0,00   17,09    0,00    0,00    0,00   73,37
02:07:14     all    3,52    0,00    5,53    0,00    0,00   17,59    0,00    0,00    0,00   73,37
02:07:15     all    3,92    0,00    3,43    0,98    0,00   15,69    0,00    0,00    0,00   75,98
02:07:16     all    3,47    0,00    3,47    0,00    0,00   13,37    0,00    0,00    0,00   79,70
02:07:17     all    3,45    0,00    2,46    1,48    0,00   14,78    0,00    0,00    0,00   77,83
02:07:18     all    2,51    0,00    3,02    0,00    0,00   13,57    0,00    0,00    0,00   80,90
02:07:19     all    7,35    0,00    4,90    0,00    0,00   14,22    0,00    0,00    0,00   73,53
02:07:20     all    3,52    0,00    6,03    0,50    0,00   16,58    0,00    0,00    0,00   73,37
02:07:21     all    4,83    0,00    6,28    0,00    0,00   17,87    0,00    0,00    0,00   71,01
02:07:22     all    3,50    0,00    4,50    0,50    0,00   14,00    0,00    0,00    0,00   77,50
02:07:23     all    4,02    0,00    4,02    0,00    0,00   13,57    0,00    0,00    0,00   78,39
02:07:24     all    4,89    0,00    5,43    5,98    0,00   16,30    0,00    0,00    0,00   67,39
02:07:25     all    5,97    0,00    4,98    1,00    0,00   18,41    0,00    0,00    0,00   69,65
02:07:26     all    2,07    0,00    2,59    0,00    0,00   15,03    0,00    0,00    0,00   80,31
02:07:27     all    3,47    0,00    3,96    0,00    0,00   20,30    0,00    0,00    0,00   72,28
